State Name,State FIPS,County Name,County FIPS,FIPS,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2014-2025 Average
Alabama,1,Etowah,55,1055,,,,,,4449.4,4449.4,5195.93,3942.12,1666.69,838.39,920.32,3066.035714
Alabama,1,Fayette,57,1057,,,,,,7248.25,7141.85,5829.16,5564.13,5473.01,3672.91,4278.61,5601.131429
Alabama,1,Franklin,59,1059,,,,,,4107.99,4129.19,3745.69,2155.57,1110.52,980.31,836.88,2438.021429
Alabama,1,Geneva,61,1061,,,,,,65708.3,65387.32,64598.79,63013.62,62828.06,60044.58,57183.01,62680.52571
Alabama,1,Greene,63,1063,,,,,,4160.54,3711.48,3694.28,3532.48,3438.48,2802.08,2619.77,3422.73
Alabama,1,Hale,65,1065,,,,,,8543,10072.34,8814.94,8636.36,9096.36,8905.51,7059.23,8732.534286
Alabama,1,Henry,67,1067,,,,,,56143.44,55392.88,51958.48,54162.5884,54082.42,54228.48,53419.12,54198.2012
Alabama,1,Houston,69,1069,,,,,,82447.88,77904.15,77308.88,78180.15,79150.45,78765.11,79730.63,79069.60714
Alabama,1,Jackson,71,1071,,,,,,25938.64,25751.08,15289.29,3880.45,1420.86,1412.46,2095.86,10826.94857
Alabama,1,Jefferson,73,1073,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Lamar,75,1075,,,,,,4337.47,4395.23,2290.31,2148.89,911.95,297.71,1614.31,2285.124286
Alabama,1,Lauderdale,77,1077,,,,,,37066.85,35904.23,31349.17,21236.6,16984.07,5614.95,10094.96,22607.26143
Alabama,1,Lawrence,79,1079,,,,,,46551.74,46507.76,47545.24,23859.5,20361.53,16780.77,29353.82,32994.33714
Alabama,1,Lee,81,1081,,,,,,4039.187028,2613.919936,3871.250868,4154.26,4075.79,3985.75,3740.44,3782.942547
Alabama,1,Limestone,83,1083,,,,,,56549.39387,55898.3011,54288.89,43061.27,25879.9714,23054.26,8137.1,38124.16948
Alabama,1,Lowndes,85,1085,,,,,,9814.84,9389.31,10783.35,8575.13,8675.66,7613.34,9248.8,9157.204286
Alabama,1,Macon,87,1087,,,,,,2701.614152,2432.51,3023.53,1673.44,2881.92,2881.92,2567.03,2594.566307
Alabama,1,Madison,89,1089,,,,,,68323.3,67491.78,46981.24,6145.49,2860.01,6806.68,13870.89,30354.19857
Alabama,1,Marengo,91,1091,,,,,,20042.47,17999.08,19295.3,17087.31,16284.71,16636.07,11978.9,17046.26286
Alabama,1,Marion,93,1093,,,,,,5085.22,5160.12,5026.7,5121.6,1847.89,1637.57,2663.98,3791.868571
Alabama,1,Marshall,95,1095,,,,,,6450.61,6440.21,4565.05,1853.87,1623.44,958.23,522.37,3201.968571
Alabama,1,Mobile,97,1097,,,,,,17024.16,16967.7,15138.97,16083.26,16514.78,14652.19,13831.19,15744.60714
Alabama,1,Monroe,99,1099,,,,,,32526.73,32418.13,32392.28,32107.9784,32387.888,30241.96,31620.26,31956.46091
Alabama,1,Montgomery,101,1101,,,,,,7526.08,8048.31,7339.34,2108.02,1266.52,1779.12,1027.02,4156.344286
Alabama,1,Morgan,103,1103,,,,,,6187.99,6338.86,5906.05,5066.44,975,2813.31,3598.01,4412.237143
Alabama,1,Perry,105,1105,,,,,,19161.76,18463.58,18547.45,15189.69,14485.92,14109.86,12807.68,16109.42
Alabama,1,Pickens,107,1107,,,,,,7675.76,7129.26,4188.87,6675.29,4194.36,3183.9,3155.12,5171.794286
Alabama,1,Pike,109,1109,,,,,,18158.73,18000.75,17776.7,17705.25,17799.02,17643.56,17613.99,17814
Alabama,1,Randolph,111,1111,,,,,,250.8,268.6,274.7,274.7,274.7,282.82,235.62,265.9914286
Alabama,1,Russell,113,1113,,,,,,8740.64,9038.28,8365.89554,4466.24,2975.96,6792.97,6356.66,6676.663649
Alabama,1,St. Clair,115,1115,,,,,,0,0,77,77,77,77,0,44
Alabama,1,Shelby,117,1117,,,,,,4150.28,4100.54,4357.3,0,0,0,2482.87,2155.855714
Alabama,1,Sumter,119,1119,,,,,,2100.5,2239.6,1753.4,1820.76,1757.26,1740.46,1738.66,1878.662857
Alabama,1,Talladega,121,1121,,,,,,13153.06,12799.27,14377.23,0,0,416.52,9401.77,7163.978571
