State Name,County Name,County FIPS,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total,Average,
Alabama,Autauga,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Baldwin,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Barbour,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Bibb,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Blount,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Bullock,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Butler,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Calhoun,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Chambers,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Cherokee,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Chilton,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Choctaw,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Clarke,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Clay,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Cleburne,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Coffee,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Colbert,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Conecuh,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Coosa,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Covington,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Crenshaw,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Cullman,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Dale,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Dallas,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,DeKalb,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Elmore,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Escambia,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Etowah,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Fayette,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Franklin,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Geneva,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Greene,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Hale,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Henry,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Houston,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Jackson,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Jefferson,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Lamar,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Lauderdale,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Lawrence,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Lee,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Limestone,1083,0,1,0,0,0,0,0,0,0,0,0,1,0.090909091,
Alabama,Lowndes,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Macon,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Madison,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Marengo,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Marion,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Marshall,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Mobile,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Monroe,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Montgomery,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Morgan,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Perry,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Pickens,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Pike,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Randolph,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Russell,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,St. Clair,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Shelby,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Sumter,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Talladega,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Tallapoosa,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Tuscaloosa,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Walker,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Washington,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Wilcox,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Winston,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Aleutians East,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Aleutians West,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Anchorage,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Bethel,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Bristol Bay,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Denali,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Dillingham,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Fairbanks North Star,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Haines,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Juneau,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Kenai Peninsula,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Ketchikan Gateway,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Kodiak Island,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Lake and Peninsula,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Matanuska-Susitna,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Nome,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,North Slope,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Northwest Arctic,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Prince of Wales-Outer Ketchikan,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Sitka,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Skagway-Hoonah-Angoon,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Southeast Fairbanks,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Valdez-Cordova,2261,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Wade Hampton,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Wrangell-Petersburg,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Yakutat,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alaska,Yukon-Koyukuk,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Apache,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Cochise,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Coconino,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Gila,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Graham,4009,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Greenlee,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,La Paz,4012,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Maricopa,4013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Mohave,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Navajo,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Pima,4019,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Pinal,4021,1,1,1,1,1,0,0,0,0,0,1,6,0.545454545,
Arizona,Santa Cruz,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Yavapai,4025,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arizona,Yuma,4027,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Arkansas,5001,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Ashley,5003,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Baxter,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Benton,5007,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Boone,5009,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Bradley,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Calhoun,5013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Carroll,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Chicot,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Clark,5019,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Clay,5021,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Cleburne,5023,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Cleveland,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Columbia,5027,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Conway,5029,0,0,0,0,0,2,2,0,0,0,0,4,0.363636364,
Arkansas,Craighead,5031,1,0,0,1,0,0,0,0,0,0,0,2,0.181818182,
Arkansas,Crawford,5033,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Crittenden,5035,0,0,0,0,0,0,1,0,1,0,1,3,0.272727273,
Arkansas,Cross,5037,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Dallas,5039,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arkansas,Desha,5041,0,0,0,0,0,0,0,0,0,0,0,0,0,
